As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Feb 25, 2014",458.38,61.42,--,"12,750,000.00"
"Feb 24, 2014",456.62,61.18,--,"12,750,000.00"
"Feb 21, 2014",455.90,61.09,--,"12,750,000.00"
"Feb 20, 2014",453.43,60.76,--,"12,750,000.00"
"Feb 19, 2014",455.47,61.03,--,"12,750,000.00"
"Feb 18, 2014",452.83,60.68,--,"12,750,000.00"
"Feb 14, 2014",450.88,60.42,--,"12,750,000.00"
"Feb 13, 2014",447.85,60.02,--,"12,750,000.00"
"Feb 12, 2014",450.27,60.34,--,"12,750,000.00"
"Feb 11, 2014",448.34,60.08,--,"12,750,000.00"
"Feb 10, 2014",445.82,59.75,--,"12,750,000.00"
"Feb 07, 2014",445.05,59.64,--,"12,750,000.00"
"Feb 06, 2014",443.03,59.38,--,"12,750,000.00"
"Feb 05, 2014",440.74,59.07,--,"12,750,000.00"
"Feb 04, 2014",437.50,58.64,--,"12,750,000.00"
"Feb 03, 2014",442.12,59.26,--,"12,862,500.00"
"Jan 31, 2014",442.12,59.26,--,"12,862,500.00"
"Jan 30, 2014",442.12,59.26,--,"12,862,500.00"
"Jan 29, 2014",439.53,58.91,--,"12,975,000.00"
"Jan 28, 2014",437.56,58.65,--,"12,975,000.00"
"Jan 27, 2014",435.28,58.34,--,"13,125,000.00"
"Jan 24, 2014",444.54,59.47,--,"13,218,750.00"
"Jan 23, 2014",446.34,59.71,--,"13,312,500.00"
"Jan 22, 2014",448.80,60.04,--,"13,312,500.00"
"Jan 21, 2014",448.95,60.06,--,"13,312,500.00"
"Jan 17, 2014",452.05,60.48,--,"13,312,500.00"
"Jan 16, 2014",452.05,60.48,--,"13,537,500.00"
"Jan 15, 2014",456.45,61.07,--,"13,537,500.00"
"Jan 14, 2014",462.07,61.92,--,"13,537,500.00"
"Jan 13, 2014",462.07,61.92,--,"13,462,500.00"
"Jan 10, 2014",459.27,61.54,--,"13,312,500.00"
"Jan 09, 2014",458.64,61.46,--,"13,312,500.00"
"Jan 08, 2014",459.23,61.54,--,"13,312,500.00"
"Jan 07, 2014",456.86,61.22,--,"13,312,500.00"
"Jan 06, 2014",457.71,61.34,--,"13,312,500.00"
"Jan 03, 2014",459.14,61.53,--,"13,312,500.00"
"Jan 02, 2014",463.53,62.12,--,"13,312,500.00"
"Dec 31, 2013",468.26,62.75,--,"13,312,500.00"
"Dec 30, 2013",467.01,62.58,--,"13,312,500.00"
"Dec 27, 2013",465.71,62.41,0.15,"13,312,500.00"
"Dec 26, 2013",459.92,61.79,--,"13,312,500.00"
"Dec 24, 2013",458.79,61.64,--,"13,312,500.00"
"Dec 23, 2013",458.68,61.62,--,"13,312,500.00"
"Dec 20, 2013",459.98,61.90,--,"13,312,500.00"
"Dec 19, 2013",463.93,62.43,--,"13,312,500.00"
"Dec 18, 2013",464.96,62.49,0.88,"13,312,500.00"
"Dec 17, 2013",467.21,63.68,--,"13,312,500.00"
"Dec 16, 2013",464.62,63.33,--,"13,312,500.00"
"Dec 13, 2013",465.66,63.47,--,"13,312,500.00"
"Dec 12, 2013",465.42,63.44,--,"13,312,500.00"
"Dec 11, 2013",469.94,64.06,--,"13,312,500.00"
"Dec 10, 2013",470.78,64.17,--,"13,312,500.00"
"Dec 09, 2013",470.14,64.09,--,"13,312,500.00"
"Dec 06, 2013",462.93,63.11,--,"13,312,500.00"
"Dec 05, 2013",463.65,63.21,--,"13,462,500.00"
"Dec 04, 2013",463.40,63.17,--,"13,462,500.00"
"Dec 03, 2013",466.39,63.58,--,"13,462,500.00"
"Dec 02, 2013",465.19,63.42,--,"13,462,500.00"
"Nov 29, 2013",461.59,62.93,--,"13,462,500.00"
"Nov 27, 2013",457.16,62.33,--,"13,462,500.00"
