As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Jun 26, 2018",383.89,30.99,--,"13,425,000.00"
"Jun 25, 2018",384.83,31.07,--,"13,650,000.00"
"Jun 22, 2018",389.37,31.44,--,"13,650,000.00"
"Jun 21, 2018",387.49,31.28,--,"13,650,000.00"
"Jun 20, 2018",392.20,31.66,--,"13,650,000.00"
"Jun 19, 2018",393.38,31.76,0.64,"13,650,000.00"
"Jun 18, 2018",400.00,32.94,--,"13,800,000.00"
"Jun 15, 2018",404.33,33.29,--,"13,800,000.00"
"Jun 14, 2018",404.33,33.29,--,"13,800,000.00"
"Jun 13, 2018",404.76,33.33,--,"13,950,000.00"
"Jun 12, 2018",404.71,33.32,--,"13,950,000.00"
"Jun 11, 2018",407.68,33.57,--,"14,325,000.00"
"Jun 08, 2018",407.97,33.59,--,"14,625,000.00"
"Jun 07, 2018",410.43,33.79,--,"14,775,000.00"
"Jun 06, 2018",409.03,33.68,--,"14,925,000.00"
"Jun 05, 2018",403.87,33.26,--,"15,075,000.00"
"Jun 04, 2018",402.09,33.11,--,"15,150,000.00"
"Jun 01, 2018",400.61,32.99,--,"15,150,000.00"
"May 31, 2018",397.24,32.72,--,"15,150,000.00"
"May 30, 2018",391.60,32.25,--,"15,225,000.00"
"May 29, 2018",406.99,33.52,--,"15,600,000.00"
"May 25, 2018",411.33,33.88,--,"15,600,000.00"
"May 24, 2018",406.19,33.46,--,"15,600,000.00"
"May 23, 2018",412.34,33.97,--,"15,600,000.00"
"May 22, 2018",422.57,34.81,--,"15,600,000.00"
"May 21, 2018",421.98,34.76,--,"15,675,000.00"
"May 18, 2018",422.30,34.79,--,"15,675,000.00"
"May 17, 2018",422.70,34.82,--,"15,675,000.00"
"May 16, 2018",424.77,35.00,--,"15,825,000.00"
"May 15, 2018",423.13,34.86,--,"16,200,000.00"
"May 14, 2018",423.26,34.88,--,"16,200,000.00"
"May 11, 2018",423.13,34.86,--,"16,200,000.00"
"May 10, 2018",423.13,34.86,--,"16,200,000.00"
"May 09, 2018",423.13,34.86,--,"17,700,000.00"
"May 08, 2018",423.13,34.86,--,"17,700,000.00"
"May 07, 2018",419.58,34.57,--,"18,375,000.00"
"May 04, 2018",423.24,34.87,--,"18,375,000.00"
"May 03, 2018",425.96,35.09,--,"18,600,000.00"
"May 02, 2018",426.69,35.16,--,"18,600,000.00"
"May 01, 2018",432.38,35.62,--,"19,800,000.00"
"Apr 30, 2018",432.38,35.62,--,"19,800,000.00"
"Apr 27, 2018",431.08,35.52,--,"19,800,000.00"
"Apr 26, 2018",428.37,35.30,--,"19,950,000.00"
"Apr 25, 2018",427.99,35.27,--,"19,950,000.00"
"Apr 24, 2018",432.00,35.60,--,"19,950,000.00"
"Apr 23, 2018",436.64,35.98,--,"19,950,000.00"
"Apr 20, 2018",439.09,36.18,--,"19,800,000.00"
"Apr 19, 2018",441.82,36.41,--,"19,800,000.00"
"Apr 18, 2018",438.32,36.12,--,"19,575,000.00"
"Apr 17, 2018",438.06,36.10,--,"19,500,000.00"
"Apr 16, 2018",438.90,36.17,--,"19,500,000.00"
"Apr 13, 2018",437.27,36.03,--,"19,500,000.00"
"Apr 12, 2018",438.97,36.17,--,"19,125,000.00"
"Apr 11, 2018",438.40,36.13,--,"19,125,000.00"
"Apr 10, 2018",436.81,36.00,--,"19,125,000.00"
"Apr 09, 2018",433.34,35.71,--,"19,125,000.00"
"Apr 06, 2018",429.97,35.44,--,"19,125,000.00"
"Apr 05, 2018",430.44,35.48,--,"18,825,000.00"
"Apr 04, 2018",425.41,35.06,--,"18,600,000.00"
"Apr 03, 2018",433.40,35.72,--,"18,375,000.00"
"Apr 02, 2018",435.89,35.92,--,"18,375,000.00"
"Mar 29, 2018",433.88,35.76,--,"18,375,000.00"
"Mar 28, 2018",434.35,35.80,--,"18,375,000.00"
"Mar 27, 2018",434.08,35.78,--,"18,375,000.00"
"Mar 26, 2018",431.38,35.55,--,"18,375,000.00"
"Mar 23, 2018",430.47,35.48,--,"18,375,000.00"
"Mar 22, 2018",433.38,35.72,--,"18,375,000.00"
"Mar 21, 2018",429.65,35.41,--,"18,375,000.00"
"Mar 20, 2018",428.19,35.29,--,"18,375,000.00"
"Mar 19, 2018",426.49,35.16,--,"18,375,000.00"
"Mar 16, 2018",427.05,35.20,--,"18,375,000.00"
"Mar 15, 2018",425.47,35.07,--,"18,375,000.00"
"Mar 14, 2018",429.13,35.37,--,"18,375,000.00"
"Mar 13, 2018",430.35,35.47,--,"18,375,000.00"
"Mar 12, 2018",428.61,35.33,--,"18,225,000.00"
"Mar 09, 2018",422.84,34.86,--,"18,225,000.00"
"Mar 08, 2018",421.99,34.79,--,"18,225,000.00"
"Mar 07, 2018",422.31,34.82,--,"18,225,000.00"
"Mar 06, 2018",425.73,35.10,--,"18,225,000.00"
"Mar 05, 2018",424.59,35.00,--,"18,225,000.00"
"Mar 02, 2018",427.75,35.27,--,"18,225,000.00"
"Mar 01, 2018",426.71,35.18,--,"18,225,000.00"
"Feb 28, 2018",427.10,35.21,--,"18,225,000.00"
"Feb 27, 2018",431.64,35.59,--,"18,225,000.00"
"Feb 26, 2018",429.47,35.41,--,"18,225,000.00"
"Feb 23, 2018",428.78,35.35,--,"18,225,000.00"
"Feb 22, 2018",427.70,35.27,--,"18,225,000.00"
"Feb 21, 2018",429.16,35.39,--,"18,225,000.00"
"Feb 20, 2018",428.68,35.35,--,"18,225,000.00"
"Feb 16, 2018",425.84,35.11,--,"18,225,000.00"
"Feb 15, 2018",425.84,35.12,--,"18,225,000.00"
"Feb 14, 2018",421.95,34.80,--,"18,225,000.00"
"Feb 13, 2018",419.46,34.59,--,"18,225,000.00"
"Feb 12, 2018",418.63,34.52,--,"18,225,000.00"
"Feb 09, 2018",416.69,34.36,--,"18,225,000.00"
"Feb 08, 2018",422.42,34.84,--,"18,375,000.00"
"Feb 07, 2018",423.84,34.95,--,"18,375,000.00"
"Feb 06, 2018",417.39,34.42,--,"18,225,000.00"
"Feb 05, 2018",428.90,35.38,--,"18,675,000.00"
"Feb 02, 2018",434.78,35.86,--,"18,675,000.00"
"Feb 01, 2018",433.19,35.73,--,"18,675,000.00"
"Jan 31, 2018",433.19,35.73,--,"18,675,000.00"
"Jan 30, 2018",433.19,35.73,--,"18,675,000.00"
"Jan 29, 2018",436.70,36.02,--,"18,675,000.00"
"Jan 26, 2018",434.74,35.86,--,"18,300,000.00"
"Jan 25, 2018",431.16,35.57,--,"18,300,000.00"
"Jan 24, 2018",426.04,35.15,--,"18,075,000.00"
"Jan 23, 2018",425.43,35.10,--,"17,925,000.00"
"Jan 22, 2018",422.65,34.87,--,"17,475,000.00"
"Jan 19, 2018",421.11,34.74,--,"17,475,000.00"
"Jan 18, 2018",417.03,34.41,--,"17,475,000.00"
"Jan 17, 2018",418.87,34.56,--,"17,250,000.00"
"Jan 16, 2018",417.80,34.47,--,"17,250,000.00"
"Jan 12, 2018",416.44,34.36,--,"17,100,000.00"
"Jan 11, 2018",412.79,34.06,--,"16,725,000.00"
"Jan 10, 2018",412.86,34.07,--,"16,725,000.00"
"Jan 09, 2018",413.25,34.09,--,"16,725,000.00"
"Jan 08, 2018",415.79,34.30,--,"15,750,000.00"
"Jan 05, 2018",411.77,33.97,--,"15,075,000.00"
"Jan 04, 2018",407.25,33.60,--,"15,075,000.00"
"Jan 03, 2018",404.15,33.35,--,"14,925,000.00"
"Jan 02, 2018",400.97,33.06,--,"14,925,000.00"
"Dec 29, 2017",401.93,33.14,--,"14,925,000.00"
"Dec 28, 2017",395.57,32.61,--,"14,925,000.00"
"Dec 27, 2017",392.42,32.35,--,"14,925,000.00"
"Dec 26, 2017",389.54,32.12,--,"14,925,000.00"
"Dec 22, 2017",390.16,32.17,--,"14,775,000.00"
"Dec 21, 2017",388.29,32.02,--,"14,775,000.00"
"Dec 20, 2017",388.08,32.00,--,"14,775,000.00"
"Dec 19, 2017",385.12,31.76,1.49,"14,550,000.00"
"Dec 18, 2017",386.31,33.36,--,"14,550,000.00"
"Dec 15, 2017",386.45,33.37,--,"14,550,000.00"
"Dec 14, 2017",387.46,33.46,--,"14,550,000.00"
"Dec 13, 2017",382.94,33.07,--,"14,175,000.00"
"Dec 12, 2017",381.88,32.98,--,"14,175,000.00"
"Dec 11, 2017",379.71,32.79,--,"14,175,000.00"
"Dec 08, 2017",378.74,32.71,--,"14,175,000.00"
"Dec 07, 2017",378.36,32.67,--,"14,175,000.00"
"Dec 06, 2017",379.94,32.81,--,"14,175,000.00"
"Dec 05, 2017",382.14,33.00,--,"14,175,000.00"
"Dec 04, 2017",380.39,32.85,--,"14,175,000.00"
"Dec 01, 2017",378.36,32.68,--,"14,175,000.00"
"Nov 30, 2017",378.36,32.68,--,"14,175,000.00"
"Nov 29, 2017",379.38,32.77,--,"14,175,000.00"
"Nov 28, 2017",376.33,32.50,--,"14,175,000.00"
"Nov 27, 2017",376.77,32.54,--,"14,175,000.00"
"Nov 24, 2017",375.99,32.47,--,"14,175,000.00"
"Nov 22, 2017",377.78,32.63,--,"13,875,000.00"
"Nov 21, 2017",373.45,32.26,--,"13,875,000.00"
"Nov 20, 2017",372.45,32.17,--,"13,875,000.00"
"Nov 17, 2017",372.37,32.16,--,"13,875,000.00"
"Nov 16, 2017",370.71,32.02,--,"13,875,000.00"
"Nov 15, 2017",371.79,32.12,--,"13,875,000.00"
"Nov 14, 2017",372.40,32.17,--,"13,875,000.00"
"Nov 13, 2017",373.50,32.26,--,"13,875,000.00"
"Nov 10, 2017",374.34,32.34,--,"13,875,000.00"
"Nov 09, 2017",373.67,32.28,--,"13,875,000.00"
"Nov 08, 2017",371.07,32.05,--,"13,875,000.00"
"Nov 07, 2017",372.04,32.14,--,"13,875,000.00"
"Nov 06, 2017",370.20,31.98,--,"13,875,000.00"
"Nov 03, 2017",369.44,31.92,--,"13,875,000.00"
"Nov 02, 2017",370.17,31.98,--,"13,875,000.00"
"Nov 01, 2017",371.48,32.09,--,"13,875,000.00"
"Oct 31, 2017",371.73,32.11,--,"13,875,000.00"
"Oct 30, 2017",371.73,32.11,--,"13,875,000.00"
"Oct 27, 2017",370.66,32.02,--,"13,875,000.00"
"Oct 26, 2017",369.09,31.89,--,"13,875,000.00"
"Oct 25, 2017",369.73,31.94,--,"13,875,000.00"
"Oct 24, 2017",368.97,31.88,--,"13,875,000.00"
"Oct 23, 2017",369.99,31.97,--,"13,875,000.00"
"Oct 20, 2017",371.15,32.07,--,"13,875,000.00"
"Oct 19, 2017",371.78,32.12,--,"13,875,000.00"
"Oct 18, 2017",372.96,32.23,--,"13,875,000.00"
"Oct 17, 2017",372.96,32.23,--,"13,875,000.00"
"Oct 16, 2017",374.64,32.37,--,"13,875,000.00"
"Oct 13, 2017",373.76,32.29,--,"13,875,000.00"
"Oct 12, 2017",373.48,32.27,--,"13,875,000.00"
"Oct 11, 2017",373.89,32.30,--,"13,875,000.00"
"Oct 10, 2017",374.90,32.39,--,"13,875,000.00"
"Oct 09, 2017",373.48,32.27,--,"13,875,000.00"
"Oct 06, 2017",373.09,32.24,--,"13,650,000.00"
"Oct 05, 2017",372.63,32.20,--,"13,650,000.00"
"Oct 04, 2017",373.27,32.25,--,"13,650,000.00"
"Oct 03, 2017",372.06,32.15,--,"13,650,000.00"
"Oct 02, 2017",371.55,32.10,--,"13,650,000.00"
"Sep 29, 2017",372.66,32.20,--,"13,650,000.00"
"Sep 28, 2017",371.34,32.09,--,"13,650,000.00"
"Sep 27, 2017",373.85,32.31,--,"13,650,000.00"
"Sep 26, 2017",375.64,32.46,--,"13,650,000.00"
"Sep 25, 2017",376.68,32.55,--,"13,650,000.00"
"Sep 22, 2017",377.56,32.63,--,"13,650,000.00"
"Sep 21, 2017",377.56,32.63,--,"13,650,000.00"
"Sep 20, 2017",379.32,32.78,--,"13,650,000.00"
"Sep 19, 2017",379.32,32.78,--,"13,650,000.00"
"Sep 18, 2017",381.00,32.93,--,"13,650,000.00"
"Sep 15, 2017",381.43,32.96,--,"13,650,000.00"
"Sep 14, 2017",378.71,32.73,--,"13,650,000.00"
"Sep 13, 2017",380.89,32.92,--,"13,650,000.00"
"Sep 12, 2017",380.69,32.90,--,"13,650,000.00"
"Sep 11, 2017",380.21,32.86,--,"13,650,000.00"
"Sep 08, 2017",379.67,32.82,--,"13,650,000.00"
"Sep 07, 2017",379.04,32.76,--,"13,650,000.00"
"Sep 06, 2017",373.83,32.31,--,"13,650,000.00"
"Sep 05, 2017",371.07,32.07,--,"13,650,000.00"
"Sep 01, 2017",370.55,32.03,--,"13,650,000.00"
"Aug 31, 2017",370.55,32.03,--,"13,650,000.00"
"Aug 30, 2017",370.55,32.03,--,"13,650,000.00"
"Aug 29, 2017",368.88,31.89,--,"13,650,000.00"
"Aug 28, 2017",370.19,32.00,--,"13,650,000.00"
"Aug 25, 2017",369.57,31.95,--,"13,650,000.00"
"Aug 24, 2017",370.22,32.00,--,"13,650,000.00"
"Aug 23, 2017",369.61,31.95,--,"13,650,000.00"
"Aug 22, 2017",369.43,31.94,--,"13,650,000.00"
"Aug 21, 2017",368.35,31.84,--,"13,650,000.00"
"Aug 18, 2017",369.13,31.91,--,"13,650,000.00"
"Aug 17, 2017",368.53,31.86,--,"13,650,000.00"
"Aug 16, 2017",367.73,31.79,--,"13,650,000.00"
"Aug 15, 2017",367.49,31.77,--,"13,650,000.00"
"Aug 14, 2017",367.36,31.76,--,"13,650,000.00"
"Aug 11, 2017",366.11,31.65,--,"13,650,000.00"
"Aug 10, 2017",368.99,31.90,--,"13,650,000.00"
"Aug 09, 2017",369.21,31.92,--,"13,650,000.00"
"Aug 08, 2017",370.44,32.03,--,"13,650,000.00"
"Aug 07, 2017",370.07,32.00,--,"13,650,000.00"
"Aug 04, 2017",369.54,31.95,--,"13,650,000.00"
"Aug 03, 2017",368.59,31.87,--,"13,650,000.00"
"Aug 02, 2017",368.27,31.84,--,"13,650,000.00"
"Aug 01, 2017",367.07,31.74,--,"13,650,000.00"
"Jul 31, 2017",366.40,31.68,--,"13,650,000.00"
"Jul 28, 2017",367.85,31.81,--,"13,650,000.00"
"Jul 27, 2017",368.91,31.90,--,"13,650,000.00"
"Jul 26, 2017",367.56,31.79,--,"13,650,000.00"
"Jul 25, 2017",367.28,31.76,--,"13,650,000.00"
"Jul 24, 2017",367.62,31.79,--,"13,650,000.00"
"Jul 21, 2017",366.45,31.69,--,"13,650,000.00"
"Jul 20, 2017",364.79,31.55,--,"13,650,000.00"
"Jul 19, 2017",365.57,31.62,--,"13,650,000.00"
"Jul 18, 2017",365.27,31.59,--,"13,650,000.00"
"Jul 17, 2017",365.09,31.57,--,"13,650,000.00"
"Jul 14, 2017",364.54,31.53,--,"13,650,000.00"
"Jul 13, 2017",364.18,31.50,--,"13,650,000.00"
"Jul 12, 2017",364.58,31.53,--,"13,425,000.00"
"Jul 11, 2017",363.64,31.45,--,"13,425,000.00"
"Jul 10, 2017",363.84,31.47,--,"13,425,000.00"
"Jul 07, 2017",364.43,31.53,--,"13,425,000.00"
"Jul 06, 2017",364.43,31.72,--,"13,425,000.00"
"Jul 05, 2017",366.63,31.73,--,"13,425,000.00"
"Jul 03, 2017",366.66,31.72,--,"13,425,000.00"
"Jun 30, 2017",365.94,31.66,--,"13,425,000.00"
"Jun 29, 2017",367.19,31.77,--,"13,425,000.00"
"Jun 28, 2017",366.49,31.71,--,"13,425,000.00"
"Jun 27, 2017",368.81,31.91,--,"13,425,000.00"
"Jun 26, 2017",368.81,31.91,--,"13,425,000.00"
"Jun 23, 2017",368.81,31.91,--,"13,425,000.00"
"Jun 22, 2017",368.21,31.86,--,"13,425,000.00"
"Jun 21, 2017",367.81,31.82,--,"13,425,000.00"
"Jun 20, 2017",369.54,31.97,0.35,"13,350,000.00"
"Jun 19, 2017",372.26,32.56,--,"13,350,000.00"
"Jun 16, 2017",372.71,32.60,--,"13,350,000.00"
"Jun 15, 2017",373.61,32.68,--,"13,350,000.00"
"Jun 14, 2017",375.45,32.84,--,"13,350,000.00"
"Jun 13, 2017",373.16,32.64,--,"13,350,000.00"
"Jun 12, 2017",374.05,32.72,--,"13,350,000.00"
"Jun 09, 2017",374.05,32.72,--,"13,350,000.00"
"Jun 08, 2017",372.74,32.61,--,"13,350,000.00"
"Jun 07, 2017",373.12,32.64,--,"13,350,000.00"
"Jun 06, 2017",373.42,32.67,--,"13,350,000.00"
"Jun 05, 2017",373.48,32.67,--,"13,350,000.00"
"Jun 02, 2017",369.74,32.34,--,"13,350,000.00"
"Jun 01, 2017",366.05,32.02,--,"13,350,000.00"
"May 31, 2017",366.83,32.09,--,"13,350,000.00"
"May 30, 2017",366.63,32.07,--,"13,350,000.00"
"May 26, 2017",369.50,32.32,--,"13,350,000.00"
"May 25, 2017",369.49,32.32,--,"13,350,000.00"
"May 24, 2017",367.14,32.12,--,"13,125,000.00"
"May 23, 2017",366.72,32.08,--,"13,125,000.00"
"May 22, 2017",367.98,32.19,--,"13,125,000.00"
"May 19, 2017",365.00,31.93,--,"13,125,000.00"
"May 18, 2017",364.03,31.85,--,"13,125,000.00"
"May 17, 2017",365.82,32.01,--,"13,200,000.00"
"May 16, 2017",366.17,32.04,--,"13,200,000.00"
"May 15, 2017",366.38,32.05,--,"12,900,000.00"
"May 12, 2017",363.99,31.85,--,"12,900,000.00"
"May 11, 2017",363.78,31.83,--,"12,900,000.00"
"May 10, 2017",361.62,31.64,--,"12,225,000.00"
"May 09, 2017",361.62,31.64,--,"12,225,000.00"
"May 08, 2017",362.66,31.73,--,"12,225,000.00"
"May 05, 2017",361.25,31.61,--,"12,225,000.00"
"May 04, 2017",361.75,31.66,--,"12,225,000.00"
"May 03, 2017",364.34,31.88,--,"12,225,000.00"
"May 02, 2017",364.82,31.92,--,"11,850,000.00"
"May 01, 2017",361.52,31.64,--,"11,850,000.00"
"Apr 28, 2017",361.52,31.64,--,"11,850,000.00"
"Apr 27, 2017",360.77,31.57,--,"11,850,000.00"
"Apr 26, 2017",360.71,31.56,--,"11,850,000.00"
"Apr 25, 2017",357.85,31.31,--,"11,850,000.00"
"Apr 24, 2017",353.64,30.94,--,"11,850,000.00"
"Apr 21, 2017",353.64,30.95,--,"11,850,000.00"
"Apr 20, 2017",351.13,30.73,--,"11,850,000.00"
"Apr 19, 2017",350.57,30.68,--,"11,850,000.00"
"Apr 18, 2017",350.10,30.64,--,"11,850,000.00"
"Apr 17, 2017",348.79,30.52,--,"11,250,000.00"
"Apr 13, 2017",349.74,30.61,--,"11,250,000.00"
"Apr 12, 2017",349.68,30.60,--,"11,250,000.00"
"Apr 11, 2017",347.57,30.42,--,"11,250,000.00"
"Apr 10, 2017",348.01,30.46,--,"11,250,000.00"
"Apr 07, 2017",348.21,30.48,--,"11,250,000.00"
"Apr 06, 2017",347.61,30.43,--,"11,250,000.00"
"Apr 05, 2017",349.29,30.57,--,"11,250,000.00"
"Apr 04, 2017",349.75,30.61,--,"11,250,000.00"
"Apr 03, 2017",349.27,30.57,--,"11,250,000.00"
"Mar 31, 2017",348.06,30.47,--,"11,250,000.00"
"Mar 30, 2017",350.31,30.66,--,"11,250,000.00"
"Mar 29, 2017",350.72,30.70,--,"11,250,000.00"
"Mar 28, 2017",351.80,30.79,--,"11,250,000.00"
"Mar 27, 2017",349.49,30.59,--,"11,025,000.00"
"Mar 24, 2017",348.77,30.53,--,"10,875,000.00"
"Mar 23, 2017",348.66,30.52,--,"10,875,000.00"
"Mar 22, 2017",349.08,30.56,--,"10,725,000.00"
"Mar 21, 2017",350.27,30.66,--,"10,575,000.00"
"Mar 20, 2017",349.28,30.58,--,"10,125,000.00"
"Mar 17, 2017",347.42,30.42,--,"9,975,000.00"
"Mar 16, 2017",345.87,30.28,--,"9,750,000.00"
"Mar 15, 2017",341.12,29.87,--,"9,075,000.00"
"Mar 14, 2017",341.83,29.93,--,"9,075,000.00"
"Mar 13, 2017",342.03,29.95,--,"8,775,000.00"
"Mar 10, 2017",340.64,29.83,--,"8,775,000.00"
"Mar 09, 2017",340.32,29.80,--,"8,775,000.00"
"Mar 08, 2017",342.52,29.99,--,"8,775,000.00"
"Mar 07, 2017",343.64,30.09,--,"8,775,000.00"
"Mar 06, 2017",342.52,29.99,--,"8,775,000.00"
"Mar 03, 2017",338.33,29.63,--,"8,775,000.00"
"Mar 02, 2017",340.29,29.80,--,"8,775,000.00"
"Mar 01, 2017",337.05,29.52,--,"8,775,000.00"
"Feb 28, 2017",337.30,29.54,--,"8,775,000.00"
"Feb 27, 2017",336.99,29.51,--,"8,775,000.00"
"Feb 24, 2017",337.45,29.55,--,"8,775,000.00"
"Feb 23, 2017",338.05,29.61,--,"8,775,000.00"
"Feb 22, 2017",338.32,29.63,--,"8,775,000.00"
"Feb 21, 2017",337.39,29.55,--,"8,775,000.00"
"Feb 17, 2017",337.45,29.56,--,"8,775,000.00"
"Feb 16, 2017",337.37,29.55,--,"8,775,000.00"
"Feb 15, 2017",337.57,29.57,--,"8,775,000.00"
"Feb 14, 2017",337.25,29.54,--,"8,775,000.00"
"Feb 13, 2017",337.60,29.57,--,"8,775,000.00"
"Feb 10, 2017",335.95,29.43,--,"8,775,000.00"
"Feb 09, 2017",334.62,29.31,--,"8,775,000.00"
"Feb 08, 2017",334.62,29.31,--,"8,775,000.00"
"Feb 07, 2017",334.52,29.30,--,"8,775,000.00"
"Feb 06, 2017",335.69,29.41,--,"8,775,000.00"
"Feb 03, 2017",334.10,29.27,--,"8,775,000.00"
"Feb 02, 2017",332.18,29.10,--,"8,775,000.00"
"Feb 01, 2017",331.36,29.03,--,"8,775,000.00"
"Jan 31, 2017",331.36,29.03,--,"8,775,000.00"
"Jan 30, 2017",334.23,29.28,--,"8,775,000.00"
"Jan 27, 2017",334.23,29.28,--,"8,775,000.00"
"Jan 26, 2017",335.49,29.39,--,"8,700,000.00"
"Jan 25, 2017",332.85,29.16,--,"8,700,000.00"
"Jan 24, 2017",332.78,29.16,--,"8,700,000.00"
"Jan 23, 2017",330.51,28.96,--,"8,700,000.00"
"Jan 20, 2017",328.92,28.82,--,"8,700,000.00"
"Jan 19, 2017",329.30,28.85,--,"8,700,000.00"
"Jan 18, 2017",329.11,28.84,--,"8,700,000.00"
"Jan 17, 2017",327.55,28.70,--,"8,700,000.00"
"Jan 13, 2017",329.17,28.84,--,"8,700,000.00"
"Jan 12, 2017",330.80,28.99,--,"8,700,000.00"
"Jan 11, 2017",329.07,28.84,--,"8,700,000.00"
"Jan 10, 2017",328.07,28.75,--,"8,700,000.00"
"Jan 09, 2017",327.07,28.66,--,"8,700,000.00"
"Jan 06, 2017",328.78,28.81,--,"8,700,000.00"
"Jan 05, 2017",325.37,28.51,--,"8,700,000.00"
"Jan 04, 2017",322.33,28.25,--,"8,700,000.00"
"Jan 03, 2017",320.52,28.09,--,"8,700,000.00"
"Dec 30, 2016",321.41,28.17,--,"8,700,000.00"
"Dec 29, 2016",320.90,28.12,--,"8,700,000.00"
"Dec 28, 2016",319.72,28.02,--,"8,700,000.00"
"Dec 27, 2016",317.92,27.86,--,"8,700,000.00"
"Dec 23, 2016",317.79,27.86,--,"8,700,000.00"
"Dec 22, 2016",319.12,27.97,--,"8,850,000.00"
"Dec 21, 2016",320.38,28.08,1.26,"8,850,000.00"
"Dec 20, 2016",320.85,29.38,--,"8,850,000.00"
"Dec 19, 2016",321.04,29.40,--,"8,850,000.00"
"Dec 16, 2016",321.82,29.47,--,"8,925,000.00"
"Dec 15, 2016",322.90,29.57,--,"8,925,000.00"
"Dec 14, 2016",325.46,29.80,--,"8,850,000.00"
"Dec 13, 2016",326.65,29.91,--,"8,850,000.00"
"Dec 12, 2016",326.36,29.88,--,"8,850,000.00"
"Dec 09, 2016",326.36,29.89,--,"8,850,000.00"
"Dec 08, 2016",327.01,29.95,--,"8,850,000.00"
"Dec 07, 2016",323.69,29.64,--,"8,850,000.00"
"Dec 06, 2016",323.17,29.60,--,"8,850,000.00"
"Dec 05, 2016",321.30,29.42,--,"8,850,000.00"
"Dec 02, 2016",321.85,29.47,--,"8,850,000.00"
"Dec 01, 2016",321.05,29.40,--,"8,850,000.00"
"Nov 30, 2016",319.85,29.29,--,"8,850,000.00"
"Nov 29, 2016",320.35,29.34,--,"8,850,000.00"
"Nov 28, 2016",320.98,29.40,--,"8,850,000.00"
"Nov 25, 2016",321.44,29.44,--,"8,850,000.00"
"Nov 23, 2016",323.40,29.62,--,"8,850,000.00"
"Nov 22, 2016",324.83,29.75,--,"8,925,000.00"
"Nov 21, 2016",324.35,29.71,--,"8,925,000.00"
"Nov 18, 2016",324.14,29.69,--,"8,925,000.00"
"Nov 17, 2016",325.82,29.84,--,"9,075,000.00"
"Nov 16, 2016",329.29,30.16,--,"9,075,000.00"
"Nov 15, 2016",330.40,30.27,--,"9,075,000.00"
"Nov 14, 2016",327.95,30.04,--,"9,450,000.00"
"Nov 11, 2016",334.63,30.65,--,"9,525,000.00"
"Nov 10, 2016",339.32,31.08,--,"9,525,000.00"
"Nov 09, 2016",342.13,31.34,--,"9,525,000.00"
"Nov 08, 2016",347.55,31.84,--,"9,525,000.00"
"Nov 07, 2016",344.42,31.55,--,"9,525,000.00"
"Nov 04, 2016",345.19,31.62,--,"9,750,000.00"
"Nov 03, 2016",345.99,31.69,--,"9,750,000.00"
"Nov 02, 2016",348.09,31.89,--,"9,750,000.00"
"Nov 01, 2016",350.78,32.13,--,"9,750,000.00"
"Oct 31, 2016",350.33,32.09,--,"9,750,000.00"
"Oct 28, 2016",349.44,32.01,--,"9,750,000.00"
"Oct 27, 2016",350.44,32.10,--,"9,750,000.00"
"Oct 26, 2016",352.72,32.31,--,"9,750,000.00"
"Oct 25, 2016",354.10,32.44,--,"9,750,000.00"
"Oct 24, 2016",352.66,32.31,--,"9,750,000.00"
"Oct 21, 2016",350.50,32.11,--,"9,750,000.00"
"Oct 20, 2016",350.21,32.09,--,"9,750,000.00"
"Oct 19, 2016",350.11,32.08,--,"9,750,000.00"
"Oct 18, 2016",349.73,32.04,--,"9,750,000.00"
"Oct 17, 2016",344.90,31.60,--,"9,750,000.00"
"Oct 14, 2016",347.21,31.81,--,"9,750,000.00"
"Oct 13, 2016",347.19,31.81,--,"9,750,000.00"
"Oct 12, 2016",349.11,31.99,--,"9,750,000.00"
"Oct 11, 2016",351.32,32.19,--,"9,750,000.00"
"Oct 10, 2016",351.92,32.25,--,"9,750,000.00"
"Oct 07, 2016",352.08,32.26,--,"9,750,000.00"
"Oct 06, 2016",353.41,32.38,--,"9,750,000.00"
"Oct 05, 2016",353.01,32.35,--,"9,750,000.00"
"Oct 04, 2016",353.74,32.42,--,"9,750,000.00"
"Oct 03, 2016",350.87,32.15,--,"9,750,000.00"
"Sep 30, 2016",350.87,32.15,--,"10,125,000.00"
"Sep 29, 2016",355.51,32.58,--,"10,125,000.00"
"Sep 28, 2016",353.53,32.40,--,"10,125,000.00"
"Sep 27, 2016",354.35,32.47,--,"10,125,000.00"
"Sep 26, 2016",355.10,32.54,--,"10,125,000.00"
"Sep 23, 2016",356.81,32.70,--,"10,125,000.00"
"Sep 22, 2016",356.36,32.65,--,"10,125,000.00"
"Sep 21, 2016",351.51,32.21,--,"10,125,000.00"
"Sep 20, 2016",350.44,32.11,--,"10,125,000.00"
"Sep 19, 2016",349.74,32.05,--,"10,125,000.00"
"Sep 16, 2016",350.22,32.10,--,"10,125,000.00"
"Sep 15, 2016",350.22,32.10,--,"10,125,000.00"
"Sep 14, 2016",352.76,32.33,--,"10,125,000.00"
"Sep 13, 2016",357.25,32.74,--,"10,125,000.00"
"Sep 12, 2016",361.89,33.17,--,"10,125,000.00"
"Sep 09, 2016",361.89,33.17,--,"10,125,000.00"
"Sep 08, 2016",365.04,33.46,--,"10,125,000.00"
